148;147;07/01/2021;01010906102792; ;;Peralihan Hak - Jual Beli;01010906.02851;;;227/2021;Berkas No.456/2021 Selesai Diserahkan
149;148;07/01/2021;01010204302011; ;;Roya;01010204.02467;;;224/2021;Berkas No.322/2021 Selesai Diserahkan
150;149;07/01/2021;01010209102302; ;;Peralihan Hak - Hibah;01010209.02352;;;221/2021;Berkas No.443/2021 Selesai Diserahkan
151;150;07/01/2021;01010705102512; ;;Peralihan Hak - Pembagian Hak Bersama;01010705.02845;;;209/2021;Berkas No.459/2021 Selesai Diserahkan
152;151;07/01/2021;01010705102513; ;;Peralihan Hak - Jual Beli;01010705.02846;;;208/2021;Berkas No.463/2021 Selesai Diserahkan
153;152;07/01/2021;01010902100167; ;;Peralihan Hak - Pewarisan;01010902.02697;;;198/2021;Berkas No.417/2021 Selesai Diserahkan
154;153;07/01/2021;01010909102293; ;;Roya;01010909.02340;;;197/2021;Berkas No.420/2021 Selesai Diserahkan
155;154;07/01/2021;01010603102717; ;;Peralihan Hak - Jual Beli;01010603.02035;;;195/2021;Berkas No.110/2021 Selesai Diserahkan
156;155;07/01/2021;01010111110382;LAMBARO SKEP;Kuta Alam;Peralihan Hak - Pewarisan;01010111.01347;;;206/2021;Berkas No.329/2021 Selesai Diserahkan
157;156;07/01/2021;01010407102804; ;;Peralihan Hak - Pewarisan;01010407.03233;;;218/2021;Berkas No.422/2021 Selesai Diserahkan
158;157;07/01/2021;01010311110147; ;;Peralihan Hak - Lelang;01010311.00465;;;196/2021;Berkas No.419/2021 Selesai Diserahkan
159;158;07/01/2021;HT 01100/2020;LAMJABAT;Meuraxa;Roya;;;;229/2021;
160;159;07/01/2021;01010401100117; ;;Peralihan Hak - Penetapan atau Putusan Pengadilan;01010401.11499;;;201/2021;Berkas No.414/2021 Selesai Diserahkan
161;160;08/01/2021;01010405110995; ;;Peralihan Hak - Jual Beli;01010405.03571;;;240/2021;Berkas No.508/2021 Selesai Diserahkan
162;161;08/01/2021;01010601102351; ;;Roya;01010601.02398;;;243/2021;Berkas No.516/2021 Selesai Diserahkan
